Past,EVT,ACRES
Past Conifer,Agricultural,92235
Past Conifer,Conifer,5436884
Past Conifer,Conifer-Hardwood,6321
Past Conifer,Developed,66363
Past Conifer,Exotics,93831
Past Conifer,Grassland,32426
Past Conifer,Hardwood,65350
Past Conifer,Riparian,6687
Past Conifer,Shrubland,2186793
Past Grassland,Agricultural,138268
Past Grassland,Conifer,188240
Past Grassland,Conifer-Hardwood,7
Past Grassland,Developed,33195
Past Grassland,Exotics,51362
Past Grassland,Grassland,11573
Past Grassland,Hardwood,580
Past Grassland,Riparian,7285
Past Grassland,Shrubland,491795
Past Hardwood,Agricultural,15997
Past Hardwood,Conifer,83501
Past Hardwood,Conifer-Hardwood,2500
Past Hardwood,Developed,2506
Past Hardwood,Exotics,4911
Past Hardwood,Grassland,5156
Past Hardwood,Hardwood,77206
Past Hardwood,Riparian,2364
Past Hardwood,Shrubland,65603
Past Hardwood-Conifer,Agricultural,713
Past Hardwood-Conifer,Conifer,74329
Past Hardwood-Conifer,Conifer-Hardwood,4476
Past Hardwood-Conifer,Developed,1933
Past Hardwood-Conifer,Exotics,3744
Past Hardwood-Conifer,Grassland,6298
Past Hardwood-Conifer,Hardwood,53477
Past Hardwood-Conifer,Riparian,312
Past Hardwood-Conifer,Shrubland,28154
Past Riparian,Agricultural,157696
Past Riparian,Conifer,422368
Past Riparian,Conifer-Hardwood,436
Past Riparian,Developed,51210
Past Riparian,Exotics,80583
Past Riparian,Grassland,10664
Past Riparian,Hardwood,13754
Past Riparian,Riparian,110396
Past Riparian,Shrubland,669933
Past Shrubland,Agricultural,1033011
Past Shrubland,Conifer,2876673
Past Shrubland,Conifer-Hardwood,935
Past Shrubland,Developed,411657
Past Shrubland,Exotics,783250
Past Shrubland,Grassland,153870
Past Shrubland,Hardwood,88529
Past Shrubland,Riparian,86784
Past Shrubland,Shrubland,12534787
